"Artifact_Gene","Major_Cluster","Subcluster","No..cell","Enrichment_Score","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","Avg_Exp","Source_of_Artifacts_SoA","SoA_No..cell","SoA_Enrichment_Score","SoA_avg_log2FC","SoA_pct.1","SoA_pct.2","SoA_p_val","SoA_p_val_adj","SoA_Avg_Exp"
"BLVRB","M4","S1",248,0.01471268720038,0.342155516287906,0.262,0.219,0.0739340796138886,1,0.346774193548387,"M3",1997,3.06209717010171,4.32499600296851,0.996,0.288,0,0,18.7910290237467
"BST1","M4","S1",248,0.0159211770772268,0.758151289391753,0.036,0.015,0.0146893175538256,1,0.0362903225806452,"M2",1997,1.06710952706782,3.51022870745995,0.316,0.012,0,0,0.410596026490068
"C6orf48","M4","S1",248,0.0106356005784605,0.226289374009798,0.355,0.308,0.0372488931956,1,0.471774193548387,"M2",1997,0.239052859930095,1.2581729470005,0.804,0.614,8.02856325540955e-197,2.03435764328823e-192,2.09161147902868
"CA1","M4","S1",248,0.0760167124892472,1.76783052300575,0.052,0.009,9.30242642629909e-08,0.00235714183215993,0.104838709677419,"M3",1997,1.8243517733456,4.37494430058897,0.427,0.01,0,0,2.58047493403692
"CALCB","M4","S1",248,0.000116753533505436,0.116753533505436,0.004,0.003,0.750186021677079,1,0.00806451612903226,"M1",1997,1.08251398441344,4.40046335127416,0.252,0.006,1.74766766366664e-303,4.4284150929649e-299,1.73183481442761
"CAMLG","M4","S1",248,0.00537488312302646,0.18534079734574,0.274,0.245,0.121834921366242,1,0.334677419354838,"M1",1997,0.833226641301527,1.63377772804221,0.802,0.292,0,0,1.95818086774703
"CAP1","M4","S1",248,0.00221070898744944,0.13816931171559,0.399,0.383,0.291819523786136,1,0.528225806451613,"M2",1997,2.08396143323471,4.46244418251543,0.991,0.524,0,0,10.9122516556291
"CBR1","M4","S1",248,0.000844358750267055,0.168871750053411,0.008,0.003,0.194159350470141,1,0.00806451612903226,"M1",1997,1.63748733899977,2.61997974239964,0.795,0.17,0,0,2.04756926293782
"CDX2","M4","S1",248,0.000511883453186151,0.170627817728717,0.004,0.001,0.106971086598811,1,0.00403225806451613,"M1",1997,0.872306843597932,2.66760502629337,0.331,0.004,0,0,0.428123366440147
"CFD","M4","S1",248,0.0212352399374694,0.366124826508093,0.129,0.071,0.00143205302917221,1,0.153225806451613,"M2",1997,2.16486480749124,3.79800843419516,0.897,0.327,0,0,3.50275938189842
"CKB","M4","S1",248,0.0221246602360385,0.240485437348245,0.569,0.477,0.00608153483556424,1,1.08064516129032,"M1",1997,0.963236177949042,2.15008075435054,0.991,0.543,0,0,11.5358076319916
"CLEC11A","M4","S1",248,0.257099412719939,1.00429458093726,0.875,0.619,5.84036977973936e-33,1.47989129848816e-28,3.1733870967742,"M2",1997,1.33359847238046,2.66719694476093,0.943,0.443,0,0,5.36258278145693
"CLIC2","M4","S1",248,0.00546926637980408,0.546926637980408,0.028,0.018,0.242913595010998,1,0.032258064516129,"M3",1997,1.57089971068913,2.98650135112001,0.537,0.011,0,0,0.850659630606852
"CNN3","M4","S1",248,0.00526423579080075,0.478566890072795,0.04,0.029,0.311588079103594,1,0.0403225806451613,"M1",1997,3.53863756125103,4.18278671542675,0.886,0.04,0,0,2.62049137480397
"CNPY3","M4","S1",248,0.0726630452876502,0.563279420834498,0.528,0.399,1.2781562792377e-06,0.032387201959604,0.774193548387096,"M2",1997,0.397831867095255,1.61720271176933,0.613,0.367,8.08495769054036e-169,2.04864742920602e-164,1.08002207505517
"CPE","M4","S1",248,0.000175155103792544,0.0875775518962718,0.008,0.006,0.742762512599376,1,0.00806451612903226,"M1",1997,0.940340277884266,2.46808471885634,0.4,0.019,0,0,0.567171981181393
"CXorf21","M4","S1",248,0.00711718918383168,0.355859459191584,0.109,0.089,0.249865804033401,1,0.120967741935484,"M2",1997,1.62508398472431,3.60329043176121,0.491,0.04,0,0,0.905077262693145
"CYR61","M4","S1",248,0.00031771457415877,0.158857287079385,0.016,0.014,0.80818201468414,1,0.0161290322580645,"M1",1997,1.32334687517909,2.99399745515632,0.474,0.032,0,0,0.807109252483018
"DHRS9","M4","S1",248,0.00234540421771953,0.335057745388504,0.012,0.005,0.18453069350143,1,0.0120967741935484,"M2",1997,1.83296463306809,4.3230297949719,0.434,0.01,0,0,0.708057395143482
"DPP7","M4","S1",248,0.0037735385121705,0.235846157010656,0.464,0.448,0.109721513458926,1,0.693548387096774,"M2",1997,0.299279877277431,1.42514227274967,0.588,0.378,1.18246443005808e-127,2.99624661932417e-123,1.04470198675495
"ELF1","M4","S1",248,0.0250117641093818,0.337996812288943,0.46,0.386,0.00247740613362283,1,0.677419354838709,"M2",1997,0.344379784258398,1.51043765025613,0.534,0.306,1.9336538001809e-128,4.89968536427838e-124,0.859823399558487
"EMB","M4","S1",248,0.0274851803423887,0.624663189599744,0.169,0.125,0.0230981059408763,1,0.181451612903226,"M2",1997,1.10064580657557,2.9429032261379,0.462,0.088,0,0,0.694812362030898
"ENAH","M4","S1",248,0.0030784629067761,0.384807863347012,0.012,0.004,0.0901827309368532,1,0.0120967741935484,"M1",1997,2.12419733460793,3.54032889101321,0.612,0.012,0,0,1.04966021955046
"FAIM","M4","S1",248,0.0166357034318837,0.462102873107881,0.194,0.158,0.0655040862295703,1,0.217741935483871,"M1",1997,0.90689457315762,1.81378914631524,0.621,0.121,0,0,1.08416100365919
"FAM105A","M4","S1",248,0.0100358633684848,0.401434534739393,0.222,0.197,0.192256493983208,1,0.306451612903226,"M2",1997,0.237553673537583,1.49404826124266,0.272,0.113,2.53052990253967e-70,6.41210972004528e-66,0.34823399558499
"FAM46A","M4","S1",248,0.016695460480879,0.269281620659339,0.274,0.212,0.0177651574161659,1,0.379032258064516,"M2",1997,1.35626715692739,2.72890776041728,0.634,0.137,0,0,1.23785871964679
"FCER1G","M4","S1",248,0.112789844095253,0.561143502961457,0.395,0.194,4.46852770421582e-13,1.13228023497125e-08,0.826612903225806,"M2",1997,2.54041738237922,3.80872171271248,0.763,0.096,0,0,3.73013245033109
"FCGRT","M4","S1",248,0.0136395328371828,0.332671532614214,0.137,0.096,0.042136700174531,1,0.157258064516129,"M2",1997,1.54846633470261,3.22597153063044,0.648,0.168,0,0,1.37306843267107
"FKBP10","M4","S1",248,0.000954271097762985,0.190854219552597,0.008,0.003,0.279017286879194,1,0.00806451612903226,"M1",1997,1.40414956920594,3.14127420404014,0.453,0.006,0,0,0.648719289074757
"FUNDC1","M4","S1",248,0.00555020703786728,0.277510351893364,0.206,0.186,0.281278109102534,1,0.225806451612903,"M1",1997,0.770925551254407,1.65080417827496,0.681,0.214,0,0,1.24986931521173
"GATA1","M4","S1",248,0.012397945308316,0.652523437279792,0.036,0.017,0.0331415174988967,1,0.0524193548387097,"M3",1997,3.500693543949,4.17743859659785,0.85,0.012,0,0,2.69287598944587
"GCHFR","M4","S1",248,0.0860699524687041,1.10346092908595,0.153,0.075,1.39310948016028e-05,0.353000011177812,0.161290322580645,"M3",1997,0.951722012932137,1.68745037753925,0.751,0.187,0,0,1.66068601583111
"GDF15","M4","S1",248,0.00029741083857558,0.14870541928779,0.004,0.002,0.44422576839022,1,0.00403225806451613,"M3",1997,1.06495311715486,3.08682062943437,0.349,0.004,0,0,0.756728232189972
"GPR160","M4","S1",248,0.00302784450021929,0.159360236853647,0.129,0.11,0.304339888712963,1,0.129032258064516,"M2",1997,1.09159871152824,2.99889755914353,0.461,0.097,0,0,0.777041942604848
"GPSM3","M4","S1",248,0.0139291518778221,0.257947256996706,0.423,0.369,0.0140639296307687,1,0.592741935483871,"M2",1997,0.231105110935594,1.28391728297552,0.476,0.296,8.42058033401927e-83,2.13369085083714e-78,0.740618101545246
"GPX1","M4","S1",248,0.00401539101669883,0.0872911090586701,0.734,0.688,0.0261489332920923,1,1.56451612903226,"M2",1997,0.636906518675595,1.79917095671072,0.902,0.548,0,0,3.0469094922737
"GSTT1","M4","S1",248,0.000522153715640079,0.174051238546693,0.004,0.001,0.272162358897082,1,0.00403225806451613,"M3",1997,1.32524886815861,2.91905037039341,0.456,0.002,0,0,0.65277044854881
"GTSF1","M4","S1",248,7.13548517403929e-05,0.0713548517403928,0.028,0.027,0.926581431670689,1,0.0403225806451613,"M2",1997,0.394306709585242,1.01364192695435,0.733,0.344,1.84579905096936e-148,4.67707021525125e-144,1.67880794701985
"GTSF1","M4","S1",248,7.13548517403929e-05,0.0713548517403928,0.028,0.027,0.926581431670689,1,0.0403225806451613,"M3",1997,1.51838479696717,2.07429617072018,0.986,0.254,0,0,7.63166226912936
"H2AFY2","M4","S1",248,0.0208793261500641,0.69597753833547,0.105,0.075,0.0701773413533782,1,0.108870967741935,"M1",1997,1.01724176474531,2.28593654998945,0.48,0.035,0,0,0.674856246732887
"HBA2","M4","S1",248,0.00975571112660534,0.314700358922753,0.081,0.05,0.0430396408054891,1,0.0846774193548387,"M3",1997,4.63422652414986,5.35748731115591,0.935,0.07,0,0,11.4490765171505
"HBD","M4","S1",248,0.00649601512131128,0.180444864480869,0.242,0.206,0.146796869023557,1,0.310483870967742,"M3",1997,2.24323109966912,3.2795776310952,0.766,0.082,0,0,4.20474934036937
"HCLS1","M4","S1",248,0.0210131217850864,0.466958261890809,0.343,0.298,0.0217811020726652,1,0.427419354838709,"M2",1997,0.21680660822618,1.32199151357427,0.313,0.149,1.63697977380855e-65,4.14794304885348e-61,0.397902869757176
"HES6","M4","S1",248,0.00707253258436132,0.471502172290755,0.052,0.037,0.220666063956695,1,0.0524193548387097,"M3",1997,1.04994387520398,1.82917051429264,0.776,0.202,0,0,2.05277044854878
"HEY1","M4","S1",248,0.000528189334013112,0.264094667006556,0.004,0.002,0.606394396057372,1,0.00403225806451613,"M1",1997,1.41741740044095,3.34296556707771,0.433,0.009,0,0,0.807631991636179
"HLA-A","M4","S1",248,0.0626085102095476,0.521737585079563,0.44,0.32,7.91171775558099e-06,0.200475016208667,0.75,"M2",1997,0.432950138256438,1.6094800678678,0.591,0.322,2.15989136745611e-168,5.47294873599703e-164,1.17439293598233
"HOXB4","M4","S1",248,0.00189463313569732,0.270661876528188,0.008,0.001,0.022605585593644,1,0.00806451612903226,"M3",1997,1.00565901943877,2.25990790885116,0.491,0.046,0,0,0.736675461741419
"HYI","M4","S1",248,0.00645443961568917,0.430295974379278,0.048,0.033,0.207354934063409,1,0.0524193548387097,"M2",1997,0.369300488325899,2.15965197851403,0.256,0.085,1.37837254323248e-98,3.49265818729677e-94,0.324503311258279
"ICAM4","M4","S1",248,0.00114152259909368,0.190253766515613,0.008,0.002,0.0614967333321326,1,0.00806451612903226,"M3",1997,1.2664882820926,2.72950060795818,0.482,0.018,0,0,0.720844327176776
"IRF2BP2","M4","S1",248,0.00775929989127228,0.14921730560139,0.375,0.323,0.0566757274287404,1,0.532258064516129,"M2",1997,0.432746407385299,1.70372601332795,0.579,0.325,1.77598126213361e-164,4.50015892012036e-160,0.947019867549654
"ITGB2","M4","S1",248,0.0249102431849427,0.42948695146453,0.355,0.297,0.00602652800863448,1,0.487903225806451,"M2",1997,0.638922466267338,2.02832528973758,0.435,0.12,3.3919751596274e-208,8.59492585697987e-204,0.674392935982334
"KCNH2","M4","S1",248,0.00374360352943931,0.467950441179914,0.016,0.008,0.202365916113672,1,0.0161290322580645,"M3",1997,3.72348456529179,4.4699694661366,0.847,0.014,0,0,2.842216358839
"KRCC1","M4","S1",248,0.0653358617314939,0.750986916453953,0.27,0.183,0.000248931041572163,1,0.370967741935484,"M2",1997,0.236170963065549,1.41419738362604,0.308,0.141,7.61516072021172e-72,1.92960557489445e-67,0.379690949227375
"LINC01033","M4","S1",248,0.00142095602114297,0.284191204228594,0.008,0.003,0.193370900457251,1,0.00806451612903226,"M3",1997,1.74149260942697,3.12095449718095,0.575,0.017,0,0,0.97467018469656
"LYPD1","M4","S1",248,0.000309192567847496,0.154596283923748,0.004,0.002,0.606394396057372,1,0.00403225806451613,"M1",1997,1.79354914246125,3.64542508630336,0.497,0.005,0,0,0.951907997909052
"MAGEA1","M4","S1",248,0.000472616644147416,0.157538881382472,0.004,0.001,0.271397206036643,1,0.00403225806451613,"M3",1997,1.05628108473159,2.95877054546665,0.359,0.002,0,0,0.709762532981528
"MAGEA3","M4","S1",248,0.000233662155261208,0.116831077630604,0.004,0.002,0.445131068196635,1,0.00403225806451613,"M3",1997,1.92074453470977,3.31734807376472,0.581,0.002,0,0,0.912401055408962
"MAGEB2","M4","S1",248,0.0009466063976943,0.47330319884715,0.004,0.002,0.60544487720097,1,0.00403225806451613,"M3",1997,1.28847726116576,2.59773641364064,0.52,0.024,0,0,0.913984168865429
"MFSD1","M4","S1",248,0.00856890450778189,0.267778265868184,0.25,0.218,0.140360099623634,1,0.298387096774193,"M2",1997,0.248208716203817,1.46869062842495,0.312,0.143,1.03262774425139e-73,2.6165754411586e-69,0.391832229580576
"MID1","M4","S1",248,7.44441800372914e-05,0.0372220900186457,0.004,0.002,0.607344580207865,1,0.00403225806451613,"M1",1997,1.37746864709382,3.16659459102027,0.443,0.008,0,0,0.677469942498697
"MPP1","M4","S1",248,0.0946478748092968,0.788732290077473,0.298,0.178,1.52665075484818e-06,0.0386838034770979,0.375,"M3",1997,1.54043891425998,2.21327430209767,0.855,0.159,0,0,2.4559366754617
"MS4A6A","M4","S1",248,0.148273785732484,1.06671788296751,0.218,0.079,4.12487295120148e-12,1.04520155710494e-07,0.358870967741935,"M2",1997,2.09765980724234,3.77276943748623,0.601,0.045,0,0,1.74116997792493
"MYB","M4","S1",248,0.00208681853941819,0.122754031730482,0.238,0.221,0.342793586294599,1,0.294354838709677,"M2",1997,0.28291310962843,1.52926005204557,0.344,0.159,1.28917462979026e-85,3.26663959442554e-81,0.444260485651216
"MYL12A","M4","S1",248,0.0282736044370584,0.307321787359331,0.77,0.678,5.29547401944573e-05,1,1.88709677419355,"M2",1997,0.193007087797957,1.34032699859692,0.889,0.745,2.68936293342951e-291,6.81457673701704e-287,3.07615894039732
"MZT1","M4","S1",248,0.0105224448775202,0.263061121938006,0.331,0.291,0.0847359018958804,1,0.419354838709677,"M1",1997,0.891425418156082,1.79001087983149,0.925,0.427,0,0,3.59226346053317
"NAPRT1","M4","S1",248,0.0104540165230689,0.418160660922755,0.198,0.173,0.197210997409831,1,0.233870967741935,"M2",1997,0.446603868199636,1.94175594869407,0.498,0.268,3.98421510992957e-146,1.00956026670505e-141,0.780353200882993
